Market,Industry,Process_Name,Input_Source,Current_State_Mapping,Future_State_Mapping,Identified_Risk,Mitigating_Control,Control_Type,Local_Variation,Inefficiency_Found,Predictive_Risk_Score
USA,Banking,Trading Floor Surveillance,"Our Trading Floor Surveillance relies on the manager checking spreadsheets every Friday. If they are out, the validation is skipped.",Manual data entry into Legacy System followed by email review in USA.,AI-driven automated ingestion with immutable blockchain audit logs.,Credit default due to outdated scoring,AI-driven credit scoring model,ITGC,SOX Section 404 compliance,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.19
USA,Manufacturing,Inventory Valuation,"Our Inventory Valuation relies on the manager checking spreadsheets every Friday. If they are out, the validation is skipped.",Manual data entry into Legacy System followed by email review in USA.,AI-driven automated ingestion with immutable blockchain audit logs.,Duplicate payments to vendors,3-way match automation,Manual,SOX Section 404 compliance,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.3
USA,Manufacturing,Quality Assurance Inspection,"Internal audit extract: 'The Quality Assurance Inspection workflow lacks a clear audit trail as approvals are buried in email strings.'",Manual data entry into Legacy System followed by email review in USA.,AI-driven automated ingestion with immutable blockchain audit logs.,Inaccurate inventory counts leading to production delays,Computer Vision QA scanning,Automated,SOX Section 404 compliance,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.6
USA,Banking,High-Value Transfer Approval,The current SOP for High-Value Transfer Approval is outdated and doesn't account for cloud-based tools used in USA.,Manual data entry into Legacy System followed by email review in USA.,AI-driven automated ingestion with immutable blockchain audit logs.,Insider trading during blackout periods,AI-driven credit scoring model,Manual,SOX Section 404 compliance,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.91
Japan,Banking,AML/KYC Onboarding,The current SOP for AML/KYC Onboarding is outdated and doesn't account for cloud-based tools used in Japan.,Manual data entry into Legacy System followed by email review in Japan.,AI-driven automated ingestion with immutable blockchain audit logs.,Insider trading during blackout periods,Bio-metric access for traders,Manual,APPI standards,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.72
USA,Healthcare,Patient Record Access,"Internal audit extract: 'The Patient Record Access workflow lacks a clear audit trail as approvals are buried in email strings.'",Manual data entry into Legacy System followed by email review in USA.,AI-driven automated ingestion with immutable blockchain audit logs.,Incomplete consent forms in trials,Digitized e-signature workflow,ITGC,SOX Section 404 compliance,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.26
USA,Banking,Loan Underwriting,The current SOP for Loan Underwriting is outdated and doesn't account for cloud-based tools used in USA.,Manual data entry into Legacy System followed by email review in USA.,AI-driven automated ingestion with immutable blockchain audit logs.,Money laundering through shell companies,AI-driven credit scoring model,Manual,SOX Section 404 compliance,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.42
Brazil,Manufacturing,Factory Safety Monitoring,"Our Factory Safety Monitoring relies on the manager checking spreadsheets every Friday. If they are out, the validation is skipped.",Manual data entry into Legacy System followed by email review in Brazil.,AI-driven automated ingestion with immutable blockchain audit logs.,OSHA/Regulatory safety violations,Real-time wearable safety monitors,Manual,LGPD alignment,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.67
USA,Manufacturing,Quality Assurance Inspection,"Internal audit extract: 'The Quality Assurance Inspection workflow lacks a clear audit trail as approvals are buried in email strings.'",Manual data entry into Legacy System followed by email review in USA.,AI-driven automated ingestion with immutable blockchain audit logs.,Faulty components entering the assembly line,Computer Vision QA scanning,Automated,SOX Section 404 compliance,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.42
Germany,Manufacturing,Factory Safety Monitoring,"Our Factory Safety Monitoring relies on the manager checking spreadsheets every Friday. If they are out, the validation is skipped.",Manual data entry into Legacy System followed by email review in Germany.,AI-driven automated ingestion with immutable blockchain audit logs.,Faulty components entering the assembly line,3-way match automation,Automated,GDPR and BDSG requirements,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.44
